"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.scalability.QT.+OR+.QT.number+of+nodes.QT.+OR+.QT.number+of+resources.QT.%29+AND+.QT.intrusion+detection+system.QT.%29",2016/09/19 11:06:38,"Scalability","(""scalability"" OR ""number of nodes"" OR ""number of resources"") AND ""intrusion detection system""",IEEE
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Fuzzy intrusion detection","J. E. Dickerson; J. Juslin; O. Koukousoula; J. A. Dickerson","Dept. of Electr. & Comput. Eng., Iowa State Univ., Ames, IA, USA","IFSA World Congress and 20th NAFIPS International Conference, 2001. Joint 9th","","2001","3","","1506","1510 vol.3","The Fuzzy Intrusion Recognition Engine (FIRE) is a network intrusion detection system that uses fuzzy systems to assess malicious activity against computer networks. The system uses an agent-based approach to separate monitoring tasks. Individual agents perform their own fuzzification of input data sources. All agents communicate with a fuzzy evaluation engine that combines the results of individual agents using fuzzy rules to produce alerts that are true to a degree. Several intrusion scenarios are presented along with the fuzzy systems for detecting the intrusions. The fuzzy systems are tested using data obtained from networks under simulated attacks. The results show that fuzzy systems can easily identify port scanning and denial of service attacks. The system can be effective at detecting some types of backdoor and Trojan horse attacks","","","10.1109/NAFIPS.2001.943772","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=943772","","Communication system control;Computer networks;Engines;Fires;Fuzzy systems;Intrusion detection;Monitoring;Performance analysis;Telecommunication traffic;Transceivers","computer networks;fuzzy logic;multi-agent systems;security of data;system monitoring","FIRE;Fuzzy Intrusion Recognition Engine;Trojan horse attacks;agent-based approach;backdoor attacks;computer networks;fuzzification;fuzzy evaluation engine;fuzzy intrusion detection;malicious activity;network intrusion detection system;port scanning attacks;service denial attacks","","31","1","3","","","25-28 July 2001","25 Jul 2001-28 Jul 2001","IEEE","IEEE Conference Publications"
"Visual Analytics Model for Intrusion Detection in Flood Attack","J. Zhang; M. L. Huang","Sch. of Software, Univ. of Technol., Sydney, Sydney, NSW, Australia","2013 12th IEEE International Conference on Trust, Security and Privacy in Computing and Communications","","2013","","","277","284","Flood attacks are common forms of Distributed Denial-of-Service (DDoS) attack threats on internet in nature. This has necessitated the need for visual analysis within an intrusion detection system to identify these attacks. The challenges are how to increase the accuracy of detection and how to visualize and present flood attacks in networks for early detection. In this paper, we introduce three coefficients, which not only classify the behaviors of flood attacks, but also measure the system performance under those flood attacks: a) attack-density that patterns the characters of flood attack, b) system workload which represents the system capability in handling flood attack and c) the scalability to classify the impact level of the flood attack at victim site. A visual clustered method is used to display the DDoS flood attacks. The experimentation results are presented to demonstrate our new model significantly improves the accuracy of the detection of DDoS attacks and provides a better understanding of the nature of flood attacks on networks.","2324-898X;2324898X","","10.1109/TrustCom.2013.38","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6680852","DDoS flood attack;Network security;attack density;attack scale;information visualization;workload","Analytical models;Computer crime;Floods;IP networks;Ports (Computers);Telecommunication traffic;Visualization","Internet;computer network security;data analysis;data visualisation;pattern classification;pattern clustering","DDoS attack;Internet;attack-density;distributed denial-of-service attack;flood attack behavior classification;intrusion detection;system workload;visual analytics model;visual clustered method","","3","","36","","","16-18 July 2013","","IEEE","IEEE Conference Publications"
"BLITHE: Behavior Rule-Based Insider Threat Detection for Smart Grid","H. Bao; R. Lu; B. Li; R. Deng","School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore","IEEE Internet of Things Journal","","2016","3","2","190","205","In this paper, we propose a behavior rule-based methodology for insider threat (BLITHE) detection of data monitor devices in smart grid, where the continuity and accuracy of operations are of vital importance. Based on the dc power flow model and state estimation model, three behavior rules are extracted to depict the behavior norms of each device, such that a device (trustee) that is being monitored on its behavior can be easily checked on the deviation from the behavior specification. Specifically, a rule-weight and compliance-distance-based grading strategy is designed, which greatly improves the effectiveness of the traditional grading strategy for evaluation of trustees. The statistical property, i.e., the mathematical expectation of compliance degree of each trustee, is particularly analyzed from both theoretical and practical perspectives, which achieves satisfactory tradeoff between detection accuracy and false alarms to detect more sophisticated and hidden attackers. In addition, based on real data run in POWER WORLD for IEEE benchmark power systems, and through comparative analysis, we demonstrate that BLITHE outperforms the state of arts for detecting abnormal behaviors in pervasive smart grid applications.","2327-4662;23274662","","10.1109/JIOT.2015.2459049","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7163500","Insider threat detection;security;smart grid","Cryptography;Mathematical model;Monitoring;Power measurement;Smart grids;State estimation","IEEE standards;load flow;power system security;power system state estimation;smart power grids;statistical analysis","BLITHE;DC power flow model;IEEE benchmark power system;POWER WORLD;abnormal behavior detection;behavior rule-based insider threat detection;behavior specification;compliance-distance-based grading strategy;data monitor device;rule-weight grading strategy;smart grid;state estimation model;statistical property","","0","","48","","20150721","April 2016","","IEEE","IEEE Journals & Magazines"
"Model of Network Intrusion Detection System based on BP Algorithm","Y. Wang; G. x. Huang; D. g. Peng","Information and Technology Institute, East China Normal University, Shanghai, P.R China 200062; Dept. of Information and Control Technology, Shanghai University of Electric Power, Shanghai, P.R. China 200090. E-mail: wy616@126.com","Industrial Electronics and Applications, 2006 1ST IEEE Conference on","","2006","","","1","4","Security has become an important issue for networks. Models of network intrusion detection system are important component of the issue. The research aims at the design and implementation of an intrusion detection system based on BP algorithm that can promptly detect attacks, no matter they are known or not. In this model, BP algorithm is used to learn about the normal users' behavior and the abnormal users' behavior. When the learning is over, a k-matching algorithm is given. The model is tested with the network traffic that contains both normal and abnormal data. In experiments, result proves the model is effective","","","10.1109/ICIEA.2006.257104","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4025722","","Biological neural networks;Information security;Intrusion detection;Pattern recognition;Power system modeling;Power system security;Protocols;Speech analysis;Telecommunication traffic;Traffic control","backpropagation;security of data","BP algorithm;attack detection;k-matching algorithm;network intrusion detection system;user behavior","","9","","6","","","24-26 May 2006","","IEEE","IEEE Conference Publications"
"Protecting peer-to-peer network with roaming agents","S. M. Banik; H. Urey","Department of Mathematics and Computer Science, The Citadel, Charleston, South Carolina, USA","SoutheastCon 2015","","2015","","","1","6","Peer-to-peer networks are continuously becoming more popular for sharing data and resources. However, a major drawback of this type of network is its ability to maintain security, since there is no centralized server to oversee the network. One way to remedy this problem is through the use of intelligent mobile agents. These agents will act as guards, which will essentially roam the network and periodically check on each node to ensure that it is not under attack. In our previous research, we have proposed algorithms for initial placement of agents in a given peer-to-peer network. As the agents are mobile, the next issue with agent-based security is how the agents should roam around the network to detect attacks. We want the agents to scan the entire network as quickly as possible which will minimize the detection time of attacks. If we run too many agents simultaneously to scan the network, they will consume system resources which will slow down the performance of applications running on the peer-to-peer network. In this paper we have proposed three roaming algorithms for agents. The first algorithm Heavy Scan Algorithm scans the network with minimum time by sacrificing the performance of the application. The second algorithm Light Scan Algorithm takes the maximum time to complete the scan of the entire network with less degradation of the performance of the application. The third algorithm Medium Scan Algorithm balances time to complete the scan with performance of the application. We have illustrated the proposed algorithms with an example. We have also analyzed the complexity of the proposed algorithms.","1091-0050;10910050","","10.1109/SECON.2015.7132990","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7132990","agents;intrusion detection;peer-to-peer networks","Algorithm design and analysis;Complexity theory;Delays;Intrusion detection;Mobile agents;Peer-to-peer computing","computational complexity;computer network security;mobile agents;peer-to-peer computing","agent-based security;attack detection time;centralized server;data sharing;heavy scan algorithm;intelligent mobile agents;light scan algorithm;medium scan algorithm;peer-to-peer network;resource sharing;roaming agents;roaming algorithms","","1","","9","","","9-12 April 2015","","IEEE","IEEE Conference Publications"
"Concurrent monitoring environment for obtaining IPFIX flow and signature based IDS alert data","T. Alapaholuoma; T. Sepp&#x00E4;l&#x00E4;; J. Nieminen; J. Ylinen; P. Loula","Telecommunication Research Center, Tampere University of Technology, Pori Unit, Pori, Finland","Computer Systems and Industrial Informatics (ICCSII), 2012 International Conference on","","2012","","","1","6","The aim of this paper is to introduce and untangle the operating model of a network monitoring environment that handles flow and signature based techniques side by side on a large-scale campus network. This paper introduces one approach for solving the problematic creation of standard-based flow information and signature alarms in tandem from large-scale network traffic. The operating model takes into account cost efficiency, trustworthy and privacy protection. Due to the Privacy Protection Act and local laws, data analysis is made after traffic anonymization.","","","10.1109/ICCSII.2012.6454305","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6454305","IPFIX;Large-scale;Monitoring environment;Signature-based","IP networks;Intrusion detection;Monitoring;Ports (Computers);Protocols;Software;Telecommunication traffic","data privacy;large-scale systems;security of data;telecommunication security;telecommunication traffic","IPFIX flow;Privacy Protection Act;concurrent monitoring environment;cost efficiency;large-scale campus network;large-scale network traffic;network monitoring environment;signature alarms;signature based IDS alert data;traffic anonymization;trustworthy","","0","","18","","","18-20 Dec. 2012","","IEEE","IEEE Conference Publications"
"Neural networks ensemble approach for detecting attacks in computer networks","V. Bukhtoyarov; E. Semenkin","Department of Information Security, Siberian State Aerospace University, Krasnoyarsk, Russian Federation","2012 IEEE Congress on Evolutionary Computation","","2012","","","1","6","Network activity has become an essential part of daily life of almost any modern person or company. At the same time the number of network threats and attacks of various types in private and corporate networks is constantly increasing. Therefore, the development of effective methods of intrusion detection is an urgent problem at the present day. In this paper we propose a new approach to intrusion detection in computer networks based on the use of neural networks ensembles. This approach can be implemented in distributed intrusion detection systems (IDS) which better meets the challenges of the present time, in contrast to the traditional use of neural networks in host-based IDS. In the paper the basic steps of the neural networks ensembles designing are described and some of the methods to complete these steps are expounded. Peculiarities of using neural networks ensembles to solve classification problems are discussed. Then the basic scheme of neural networks ensemble approach to intrusion detection systems is proposed. Conditions and results of the experimental investigation of the proposed approach on a number of classification problems are presented, including the problem of classifying probe attacks. Possible development of the proposed approach and areas for future research are discussed in the end.","1089-778X;1089778X","","10.1109/CEC.2012.6252986","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6252986","classification;ensemble approach;intrusion detection;neural networks","Biological neural networks;Computer networks;Genetic algorithms;Intrusion detection;Probes;Reliability","computer network security;neural nets;pattern classification","IDS;attack detection;classification problems;computer networks;corporate networks;intrusion detection systems;network activity;network threats;neural networks ensemble approach;private networks;probe attacks","","1","","15","","","10-15 June 2012","","IEEE","IEEE Conference Publications"
"TCP/IP Model and Intrusion Detection Systems","S. Zaman; F. Karray","ECE Dept., Univ. of Waterloo, Waterloo, ON","Advanced Information Networking and Applications Workshops, 2009. WAINA '09. International Conference on","","2009","","","90","96","To accommodate the information security growth and hacker's improved strategies and tools, intrusion detection systems (IDSs) are required to be allocated across the network. Furthermore, previous studies showed that the choice of network features used for the IDS is dependent on the type of the attack. Accordingly, each TCP/IP network layer has specific type of network attacks, which means that each TCP/IP network layer needs a specific type of IDS. This paper proposes a new categorization for IDS depending on the TCP/IP network model: application layer IDS (AIDS), transport layer IDS (TIDS), network layer IDS (NIDS) and link layer IDS (LIDS). Each of these IDS types is specialized to a specific network device. So, the detection process will be distributed among all TCP/IP network model layers through the network devices. To design each of these different types of IDS, several experiments have been conducted using two different features selection approaches to select the appropriate features set for each IDS type. The experimental results indicate that each IDS type has different features set that can not only improve the overall performance of the IDS, but it also can improve its scalability.","","","10.1109/WAINA.2009.12","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5136630","Intrusion detection systems;TCP/IP network model;features ranking;features selection;support vector decision function;support vector machines","Acquired immune deficiency syndrome;Computer hacking;Computer networks;Data processing;IP networks;Information security;Intrusion detection;Scalability;Support vector machines;TCPIP","security of data;transport protocols","TCP/IP network layer;application layer;information security;intrusion detection systems;link layer;network allocation;network devices;transport layer","","2","","24","","","26-29 May 2009","","IEEE","IEEE Conference Publications"
"Efficient Packet Pattern Matching for Gigabit Network Intrusion Detection Using GPUs","C. L. Hung; C. Y. Lin; H. h. Wang; C. Y. Chang","Dept. of Comput. Sci. &amp; Commun. Eng., Providence Univ., Taichung, Taiwan","High Performance Computing and Communication & 2012 IEEE 9th International Conference on Embedded Software and Systems (HPCC-ICESS), 2012 IEEE 14th International Conference on","","2012","","","1612","1617","With the rapid development of network hardware technologies and network bandwidth, the high link speeds and huge amount of threats poses challenges to network intrusion detection systems, which must handle the higher network traffic and perform more complicated packet processing. In general, pattern matching is a highly computationally intensive process part of network intrusion detection systems. In this paper, we present an efficient GPU-based pattern matching algorithm by leveraging the computational power of GPUs to accelerate the pattern matching operations to increase the over-all processing throughput. From the experiment results, the proposed algorithm achieved a maximum traffic processing throughput of 2.4 Gbit/s. The results demonstrate that GPUs can be used effectively to speed up intrusion detection systems.","","","10.1109/HPCC.2012.235","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6332370","GPU;Intrusion Dection Systems;Parallel Processing;Patttern Matching","Computer architecture;Graphics processing unit;Instruction sets;Pattern matching;Payloads;Registers;Throughput","computer network security;graphics processing units;parallel processing;pattern matching","GPU-based pattern matching algorithm;computationally intensive process;gigabit network intrusion detection system;link speeds;network bandwidth;network hardware technology;network traffic processing throughput;packet pattern matching;parallel processing","","6","","20","","","25-27 June 2012","","IEEE","IEEE Conference Publications"
"Internet With Transient Destination-Controlled Addressing","Z. Al-Qudah; E. Johnson; M. Rabinovich; O. Spatscheck","Yarmouk University, Jordan","IEEE/ACM Transactions on Networking","","2016","24","2","731","744","Today's Internet makes hosts and individual networks inherently insecure because permanent addresses turn destinations into permanent attack targets. This paper describes an Evasive Internet Protocol (EIP), a change to the data plane of the Internet that: 1) prevents senders from forging their identities while preserving the current Internet privacy paradigm; 2) gives recipients full control over who can communicate with them and for how long; 3) achieves the above features without requiring global signaling protocols; and 4) allows coexistence with and graceful introduction into the current Internet. We motivate our approach, present the architectural design, and evaluate it through trace-driven and synthetic simulations as well as prototype testing.","1063-6692;10636692","","10.1109/TNET.2014.2382110","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6998068","Internet architecture;internet protocol;network security","Computer crime;IP networks;Internet;Privacy;Radiation detectors;Routing protocols;Servers","IP networks;Internet;computer network security;data privacy","EIP;Internet architectural design;Internet privacy paradigm;data plane;evasive Internet protocol;transient destination-controlled addressing","","0","","68","","20141224","April 2016","","IEEE","IEEE Journals & Magazines"
"Decision tree based Support Vector Machine for Intrusion Detection","S. A. Mulay; P. R. Devale; G. V. Garje","Department of Information Technology, Bharati Vidyapith's COE, Pune, India","2010 International Conference on Networking and Information Technology","","2010","","","59","63","Support Vector Machines (SVM) are the classifiers which were originally designed for binary classification. The classification applications can solve multi-class problems. Decision-tree-based support vector machine which combines support vector machines and decision tree can be an effective way for solving multi-class problems in Intrusion Detection Systems (IDS). This method can decrease the training and testing time of the IDS, increasing the efficiency of the system. The different ways to construct the binary trees divides the data set into two subsets from root to the leaf until every subset consists of only one class. The construction order of binary tree has great influence on the classification performance. In this paper we are studying two decision tree approaches: Hierarchical multiclass SVM and Tree structured multiclass SVM, to construct multiclass intrusion detection system.","2324-819X;2324819X","","10.1109/ICNIT.2010.5508557","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5508557","decision tree;intrusion detection system;support vector machine","Application software;Binary trees;Classification tree analysis;Decision trees;Detectors;Information technology;Intrusion detection;Lagrangian functions;Support vector machine classification;Support vector machines","decision trees;security of data;support vector machines","binary tree construction order;decision tree based support vector machine;hierarchical multiclass SVM;multiclass intrusion detection system;tree structured multiclass SVM","","6","","14","","","11-12 June 2010","","IEEE","IEEE Conference Publications"
"When a testbed does more than testing: The Internet-Scale Event Attack and Generation Environment (ISEAGE) - providing learning and synthesizing experiences for cyber security students.","J. A. Rursch; D. Jacobson","Dept. of Electr. & Comput. Eng., Iowa State Univ., Ames, IA, USA","2013 IEEE Frontiers in Education Conference (FIE)","","2013","","","1267","1272","The importance of laboratory exercises for students is recognized unilaterally by engineering and technology programs. As engineering educators whose academic focus is information assurance and cyber security, we believe students in cyber security need the same type of access to hands on opportunities as their counter parts in hardware design or circuit design. Students should be able to configure and run their own networks, as well as explore the vulnerabilities, exploits, and remediatios needed in a cyber security professional's tool kit. Further, they need exposure to working in the complexity of the Internet. While some might argue that simulation software could be a solution, it often lacks realism. In this paper we show how our institution goes beyond the providing the standard, formalized laboratory activities for our cyber security students by developing a unique, highly configurable testbed called Internet-Scale Event and Attack Generation Environment (ISEAGE - pronounced “ice age”) that allows us to imitate the Internet. ISEAGE provides a controlled environment that allows real attacks to be played out against the students' networks and demonstrates to them real world security concepts. This paper provides an overview of how the ISEAGE security testbed functions, as well as illustrates how ISEAGE provides our students five different types of opportunities for real world experience: support of formalized classroom work; cyber defense competitions for high school, community college and four year students; inquiry-based learning in a playground environment for high school, as well as college students; testing environment for network devices such as firewalls, data loss protection, intrusion detection; research environment for senior and graduate student work.","0190-5848;01905848","","10.1109/FIE.2013.6685034","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6685034","cyber security;information assurance education;laboratory exercises;testbed","Computer security;Computers;Educational institutions;Internet;Servers;Testing","Internet;computational complexity;computer aided instruction;computer science education;digital simulation;security of data","ISEAGE security testbed functions;Internet complexity;Internet-scale event attack and generation environment;circuit design;college students;cyber defense competitions;cyber security professional tool kit;cyber security students;data loss protection;engineering educators;engineering programs;firewalls;formalized classroom work;graduate student work;hardware design;high school students;information assurance;inquiry-based learning;intrusion detection;laboratory exercises;learning experiences;playground environment;simulation software;synthesizing experiences;technology programs","","0","","4","","","23-26 Oct. 2013","","IEEE","IEEE Conference Publications"
"Acknowledgement security for MANET using EAACK","D. Suvarna; E. Pallavi; L. Sumitra; D. Chhaya; M. Korade","Dept. of Comput. Eng., Savitribai Phule Pune Univ., Pune, India","Green Computing and Internet of Things (ICGCIoT), 2015 International Conference on","","2015","","","671","678","Assembling of wireless mobile equipments which form a network beyond the existing infrastructure is the Mobile Ad-hoc Network. These nodes contracted to communication one another. As nodes from MANET can be connect with one another if and only if all are the nodes are in the corresponding range ,if it not then message relay on the neighboring or intermediate nodes between sender and receiver. We have utilized different algorithm such as Digital Signature and Clustering Algorithm for routing information. MANET have ability of self-configuring therefore which used in various application like military used or emergency recovery. MANET requires security while transferring the data for this purpose new Secure IDS designated Enhanced Adaptive Acknowledgement (EAACK) is especially constructed for MANET. Through EAACK beaten the trouble of misleading misbehavior, finite transmission Range and receiver collisions.","","","10.1109/ICGCIoT.2015.7380548","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7380548","Adaptive Acknowledgement (AACK);CryptographyTechniques;Digital signature;Enhanced Adaptive Acknowledgement (EAACK);MANET (Mobile Ad-hoc Network);Routing Algorithm;digital signature algorithm","Digital signatures;Mobile ad hoc networks;Peer-to-peer computing;Receivers;Routing protocols","digital signatures;mobile ad hoc networks;pattern clustering;telecommunication network routing","EAACK;MANET;acknowledgement security;digital signature and clustering algorithm;enhanced adaptive acknowledgement;finite transmission range;message relay;misleading misbehaviour;mobile ad hoc network;receiver collisions;routing information;secure IDS;wireless mobile equipments","","","","16","","","8-10 Oct. 2015","","IEEE","IEEE Conference Publications"
"Processes' optimization tools for web-service oriented organizations' resources - an ehealth application","P. &#346;wi&#261;tek; K. Juszczyszyn; G. Ko&#322;aczek; K. Brzostowski; P. Schauer","Department of Computer Science, Wroclaw University of Technology, Poland","2015 17th International Conference on E-health Networking, Application & Services (HealthCom)","","2015","","","222","226","This paper presents a software framework (called Platform) for rapid development of QoS-sensitive service applications. The framework also provides applications computational services (algorithms) for data processing and decision making, and uses a middleware solutions for service management and QoS-aware composition. An e-health service application is also described as illustrative use-case for our Platform.","","","10.1109/HealthCom.2015.7454502","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7454502","Service Oriented Architecture;decision process optimization;e-health;service composition","Computer architecture;Decision making;Internet;Middleware;Quality of service;Resource management","Web services;decision making;medical computing;middleware;quality of service;service-oriented architecture","QoS-aware composition;QoS-sensitive service applications;Web-service oriented organization resources;computational services;data processing;decision making;e-health service application;middleware solutions;process optimization tools;service management;software framework Platform","","","","25","","","14-17 Oct. 2015","","IEEE","IEEE Conference Publications"
"SecureDirect: proactive security through content based traffic control","J. Stevens; S. Saniepour","","Advanced Information Networking and Applications, 2003. AINA 2003. 17th International Conference on","","2003","","","704","709","The exponential growth of Internet traffic has made public servers increasingly vulnerable to unauthorized accesses and intrusions. So far the focus of most studies of this problem has been on either blocking unused ports (fire-walling) or detecting attacks with an intrusion detection system (IDS). In this paper we introduce the design and implementation of SecureDirect, which is an attempt at addressing the problem of intrusion prevention by combining an IDS with a stateful load balancer SecureDirect is a real time load balancer that distinguishes between traffic coming from ""good"" clients and traffic originating from attackers. Based on this, traffic from an identified attacker is redirected to an alternative server where damage can be mitigated. The advantage of this system is that it blocks intrusions in a manner transparent to the attacker and allows for observation and investigation of attacks in order to enable the administrator to take appropriate action. We also suggest possible uses for this type of system, and then present the results of a series of stress tests against our implementation of the idea.","","","10.1109/AINA.2003.1192971","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1192971","","Delay;Humans;Intrusion detection;Monitoring;Protection;Stress;System testing;Traffic control;Web and internet services;Web server","Internet;authorisation;client-server systems;resource allocation;telecommunication security;telecommunication traffic","Internet traffic;SecureDirect;attackers;clients;content based traffic control;intrusion prevention;proactive security;public servers;real time load balancer;stateful load balancer;unauthorized accesses","","0","","11","","","27-29 March 2003","","IEEE","IEEE Conference Publications"
"Network infrastructure visualisation using high-dimensional node-attribute data","H. Gibson; P. Vickers","Northumbria University","Visual Analytics Science and Technology (VAST), 2012 IEEE Conference on","","2012","","","293","294","We present an extended version of targeted projection pursuit, a high dimensional data exploration tool adapted for producing graph layouts using node-attributes. Attributes are generated based on detected events in the intrusion detection system and firewall logs and how often they occur for each IP address. Edges are the directed links between source and destination IPs. The layout is interactive and users can manipulate the points in order to find interesting layouts and then further analyse how these layouts are related to the events in the logs. Thus, they first allow the user to detect anomalies and then gives them a platform to investigate why they occur.","","","10.1109/VAST.2012.6400510","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6400510","","","","","","0","","4","","","14-19 Oct. 2012","","IEEE","IEEE Conference Publications"
"Intrusion detection framework of cluster-based wireless sensor network","H. Sedjelmaci; S. M. Senouci; M. Feham","Abou Bakr Belkaid University, STIC Lab, Tlemcen, Algeria","Computers and Communications (ISCC), 2012 IEEE Symposium on","","2012","","","000893","000897","Wireless sensor networks (WSNs) have a huge potential to be used in critical situations like military and commercial applications. However, these applications are required often to be deployed in hostile environments, where nodes and communication are attractive targets to attackers. This makes WSNs vulnerable to a variety of potential attacks. Due to their characteristics, conventional security mechanisms are not applicable. In this context, we propose an intrusion detection framework for a cluster-based WSN (CWSN) that aims to combine the advantage of anomaly and signature detection which are high detection rate and low false positive, respectively.","1530-1346;15301346","","10.1109/ISCC.2012.6249415","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6249415","Anomaly detection;Clustering;Intrusion detection system;Signature detection;Wireless sensor network","Classification algorithms;Data models;Handwriting recognition;Intrusion detection;Support vector machines;Wireless sensor networks","digital signatures;telecommunication security;wireless sensor networks","anomaly;cluster-based WSN;cluster-based wireless sensor network;high detection rate;intrusion detection framework;military;security mechanism;signature detection","","1","","13","","","1-4 July 2012","","IEEE","IEEE Conference Publications"
"A software router based predictive honeypot roaming scheme for network security and attack analysis","A. More; S. Tapaswi","ABV-Indian Institute of Information Technology & Management, Gwalior. India","Innovations in Information Technology (IIT), 2013 9th International Conference on","","2013","","","221","226","Our contribution through this paper is to provide a novel approach for securing hosts inside the home network using predictive attack detection and honeypots. We have given a unique method to secure hosts inside the home network. After securing these hosts we redirect attacker traffic to honeypots for further analysis. Our system also offers techniques to roam an attacker over multiple installed honeypots. This in turn helps to load share the attack traffic between honeypots and to record maximum number of attacks. This method also helps to address key problem of determining honeypot location for maximum attack exposure.","","","10.1109/Innovations.2013.6544422","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6544422","Click router;high interaction honeypots;honeypot roaming","Home automation;IP networks;Monitoring;Production;Routing;Servers;Software","computer network security;home networks;telecommunication network routing;telecommunication traffic","attack analysis;attacker traffic;home network;honeypot location determination;maximum attack exposure;network security;predictive attack detection;software router based predictive honeypot roaming scheme","","0","","22","","","17-19 March 2013","","IEEE","IEEE Conference Publications"
"Understanding complex network attack graphs through clustered adjacency matrices","S. Noel; S. Jajodia","Center for Secure Inf. Syst., George Mason Univ., Fairfax, VA, USA","21st Annual Computer Security Applications Conference (ACSAC'05)","","2005","","","10 pp.","169","We apply adjacency matrix clustering to network attack graphs for attack correlation, prediction, and hypothesizing. We self-multiply the clustered adjacency matrices to show attacker reachability across the network for a given number of attack steps, culminating in transitive closure for attack prediction over all possible number of steps. This reachability analysis provides a concise summary of the impact of network configuration changes on the attack graph. Using our framework, we also place intrusion alarms in the context of vulnerability-based attack graphs, so that false alarms become apparent and missed detections can be inferred. We introduce a graphical technique that shows multiple-step attacks by matching rows and columns of the clustered adjacency matrix. This allows attack impact/responses to be identified and prioritized according to the number of attack steps to victim machines, and allows attack origins to be determined. Our techniques have quadratic complexity in the size of the attack graph","1063-9527;10639527","","10.1109/CSAC.2005.58","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1565244","","Complex networks;Computer networks;Data security;Databases;Humans;Information systems;Intrusion detection;Reachability analysis;Testing;Visualization","computer networks;reachability analysis;security of data;telecommunication security","adjacency matrix clustering;clustered adjacency matrix;intrusion alarm;multiple step attack;network attack correlation;network attack graph;network attack hypothesizing;network attack prediction;network configuration;network reachability analysis;quadratic complexity;vulnerability-based attack graph","","24","","16","","","5-9 Dec. 2005","","IEEE","IEEE Conference Publications"
"Improve Service Chaining Performance with Optimized Middlebox Placement","J. Liu; Y. Li; Y. Zhang; L. Su; D. Jin","J. Liu is with the Department of Electronic Engineering, Tsinghua University, Beijing, China, 10084.(email:liyong07@tsinghua.edu.cn)","IEEE Transactions on Services Computing","","2015","PP","99","1","1","Previous works have proposed various approaches to implement service chaining by routing traffic through the desired middleboxes according to pre-defined policies. However, no matter what routing scheme is used, the performance of service chaining depends on where these middleboxes are placed. Thus, in this paper, we study middlebox placement problem, i.e., given network information and policy specifications, we attempt to determine the optimal locations to place the middleboxes so that the performance is optimized. The performance metrics studied in this paper include the end-to-end delay and the bandwidth consumption, which cover both users’ and network providers’ interests. We first formulate it as 0-1 programming problem, and prove it is NP-hard. We then propose two heuristic algorithms to obtain the sub-optimal solutions. The first algorithm is a greedy algorithm, and the second algorithm is based on simulated annealing. Through extensive simulations, we show that in comparison with a baseline algorithm, the proposed algorithms can reduce 22% end-to-end delay and save 38% bandwidth consumption on average. The formulation and proposed algorithms have no special assumption on network topology or policy specifications, therefore, they have broad range of applications in various types of networks such as enterprise, data center and broadband access networks.","1939-1374;19391374","","10.1109/TSC.2015.2502252","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332796","Middlebox placement;Service chaining;algorithm design;performance optimization","Algorithm design and analysis;Bandwidth;Delays;Heuristic algorithms;Middleboxes;Routing;Servers","","","","","","","","20151120","","","IEEE","IEEE Early Access Articles"
